HMDB	KEGG
HMDB0000002	C00986
HMDB0000005	C00109
HMDB0000014	C00881
HMDB0000017	C00847
HMDB0000020	C00642
HMDB0000022	C05587
HMDB0000026	C02642
HMDB0000027	C00272
HMDB0000030	C00120
HMDB0000033	C00386
HMDB0000034	C00147
HMDB0000038	C00268
HMDB0000039	C00246
HMDB0000043	C00719
HMDB0000044	C00072
HMDB0000045	C00020
HMDB0000050	C00212
HMDB0000051	C00014
HMDB0000052	C03406
HMDB0000056	C00099
HMDB0000058	C00575
HMDB0000060	C00164
HMDB0000062	C00487
HMDB0000064	C00300
HMDB0000068	C00788
HMDB0000072	C00417
HMDB0000073	C03758
HMDB0000076	C00429
HMDB0000082	C00063
HMDB0000085	C00330
HMDB0000086	C00670
HMDB0000089	C00475
HMDB0000092	C01026
HMDB0000094	C00158
HMDB0000095	C00055
HMDB0000097	C00114
HMDB0000099	C02291
HMDB0000101	C00559
HMDB0000112	C00334
HMDB0000118	C05582
HMDB0000119	C00048
HMDB0000122	C00031
HMDB0000123	C00037
HMDB0000124	C00085
HMDB0000125	C00051
HMDB0000126	C00093
HMDB0000128	C00581
HMDB0000130	C00544
HMDB0000131	C00116
HMDB0000132	C00242
HMDB0000133	C00387
HMDB0000134	C00122
HMDB0000139	C00258
HMDB0000142	C00058
HMDB0000143	C00124
HMDB0000148	C00025
HMDB0000157	C00262
HMDB0000158	C00082
HMDB0000159	C00079
HMDB0000161	C00041
HMDB0000162	C00148
HMDB0000164	C00218
HMDB0000167	C00188
HMDB0000168	C00152
HMDB0000172	C00407
HMDB0000175	C00130
HMDB0000176	C01384
HMDB0000177	C00135
HMDB0000181	C00355
HMDB0000182	C00047
HMDB0000187	C00065
HMDB0000190	C00186
HMDB0000191	C00049
HMDB0000192	C00491
HMDB0000194	C01262
HMDB0000195	C00294
HMDB0000201	C02571
HMDB0000202	C02170
HMDB0000205	C00166
HMDB0000206	C02727
HMDB0000207	C00712
HMDB0000208	C00026
HMDB0000210	C00864
HMDB0000211	C00137
HMDB0000214	C00077
HMDB0000215	C00140
HMDB0000216	C00547
HMDB0000217	C00006
HMDB0000218	C01103
HMDB0000220	C00249
HMDB0000221	C00005
HMDB0000223	C00036
HMDB0000224	C00346
HMDB0000225	C00322
HMDB0000226	C00295
HMDB0000227	C00418
HMDB0000229	C00455
HMDB0000230	C19910
HMDB0000232	C03722
HMDB0000238	C00835
HMDB0000243	C00022
HMDB0000244	C00255
HMDB0000247	C00794
HMDB0000250	C00013
HMDB0000251	C00245
HMDB0000254	C00042
HMDB0000262	C00178
HMDB0000263	C00074
HMDB0000267	C01879
HMDB0000271	C00213
HMDB0000272	C01005
HMDB0000279	C00449
HMDB0000283	C00121
HMDB0000285	C00075
HMDB0000286	C00029
HMDB0000288	C00105
HMDB0000289	C00366
HMDB0000290	C00043
HMDB0000291	C05584
HMDB0000292	C00385
HMDB0000294	C00086
HMDB0000295	C00015
HMDB0000296	C00299
HMDB0000300	C00106
HMDB0000301	C00785
HMDB0000302	C00052
HMDB0000304	C00203
HMDB0000306	C00483
HMDB0000318	C05576
HMDB0000355	C03761
HMDB0000357	NA
HMDB0000362	NA
HMDB0000379	C02225
HMDB0000387	NA
HMDB0000423	C10447
HMDB0000446	C12989
HMDB0000451	NA
HMDB0000462	C02350
HMDB0000464	C00076
HMDB0000479	C01152
HMDB0000500	C00156
HMDB0000508	C00474
HMDB0000510	C00956
HMDB0000511	C01571
HMDB0000512	C03519
HMDB0000517	C00062
HMDB0000525	NA
HMDB0000529	NA
HMDB0000532	NA
HMDB0000538	C00002
HMDB0000547	C00305
HMDB0000557	NA
HMDB0000574	C00097
HMDB0000638	C02679
HMDB0000639	C00879
HMDB0000641	C00064
HMDB0000645	C00446
HMDB0000657	C00070
HMDB0000661	C00489
HMDB0000670	C01924
HMDB0000673	C01595
HMDB0000679	C02427
HMDB0000684	C00328
HMDB0000687	C00123
HMDB0000688	NA
HMDB0000691	C00383
HMDB0000692	C14818
HMDB0000695	C00233
HMDB0000696	C00073
HMDB0000703	C01984
HMDB0000707	C01179
HMDB0000711	NA
HMDB0000716	C00408
HMDB0000719	C00263
HMDB0000721	NA
HMDB0000729	NA
HMDB0000730	NA
HMDB0000736	NA
HMDB0000742	C00155
HMDB0000746	NA
HMDB0000749	C01732
HMDB0000752	NA
HMDB0000754	C20827
HMDB0000764	C05629
HMDB0000766	NA
HMDB0000767	C02067
HMDB0000783	NA
HMDB0000802	C00715
HMDB0000806	C06424
HMDB0000807	C00597
HMDB0000808	NA
HMDB0000812	C01042
HMDB0000819	C05589
HMDB0000824	C03017
HMDB0000826	C16537
HMDB0000827	C01530
HMDB0000828	C00438
HMDB0000845	C05926
HMDB0000847	C01601
HMDB0000849	C00507
HMDB0000854	C00439
HMDB0000857	C02656
HMDB0000866	C01657
HMDB0000867	C01685
HMDB0000873	C06730
HMDB0000875	C01004
HMDB0000883	C00183
HMDB0000884	NA
HMDB0000892	C00803
HMDB0000893	C08278
HMDB0000897	C02242
HMDB0000902	C00003
HMDB0000904	C00327
HMDB0000905	C00360
HMDB0000910	C17076
HMDB0000912	NA
HMDB0000935	C00167
HMDB0000939	C00021
HMDB0000944	C08281
HMDB0000947	C17715
HMDB0000957	C00090
HMDB0000965	C00519
HMDB0000975	C01083
HMDB0000980	C04895
HMDB0000998	C00458
HMDB0001000	C01346
HMDB0001015	C03145
HMDB0001018	C00190
HMDB0001022	C00091
HMDB0001024	C03232
HMDB0001043	C00219
HMDB0001044	C00362
HMDB0001049	C00669
HMDB0001056	C00415
HMDB0001058	C00354
HMDB0001066	C03451
HMDB0001067	C12270
HMDB0001068	C05382
HMDB0001096	C00169
HMDB0001106	C05665
HMDB0001112	C00118
HMDB0001138	C00624
HMDB0001149	C00430
HMDB0001161	C01181
HMDB0001163	C00096
HMDB0001167	C00546
HMDB0001178	C00301
HMDB0001185	C00019
HMDB0001190	C00637
HMDB0001195	C03684
HMDB0001201	C00035
HMDB0001206	C00024
