Metabolite,CTRL_01,CTRL_02,CTRL_03,CTRL_04,TRT_01,TRT_02,TRT_03,TRT_04
Label,Control,Control,Control,Control,Treatment,Treatment,Treatment,Treatment
PC 32:0,3708257.81047295,2796976.15322442,2888732.1671509,4679125.98474505,22868756.6159634,23546904.3871238,20427192.0109858,19492298.6600083
PC 32:1,473347.380289386,519436.122099801,590576.955950401,596385.290948381,2318101.29420217,2138108.84045012,2729100.49305667,3041262.51659989
PC 32:2,945675.405419583,1233318.73214495,828411.539814377,1159313.96117305,6111741.12544214,5191246.59588041,6634384.52045481,6580964.7196595
PC 34:1,1201682.16453103,1653765.69520107,1069437.25945978,978722.546624312,161520.760885062,172011.024745973,162505.317140848,205609.029582085
PC 34:2,2396766.08454784,3161823.87633478,2586610.85148912,3140664.60998307,510779.501398769,489518.573676356,560814.586559961,517103.16028505
PC 34:3,4622958.3923614,5071513.70085332,4741484.85369472,6059086.79414966,1255020.62330402,1194342.29121947,1140454.79697844,1304832.57368945
PC 34:4,107466.417605741,78789.7267691427,57008.6176348871,72485.6963970714,9467.38104165432,10257.3341939642,8997.7140262097,8825.02384135185
PC 36:1,35492.9971348524,31736.8233406187,33043.3892246021,51711.2787226272,291214.705092365,279734.083734383,199770.723955453,173071.489537717
PC 36:2,2351472.42661981,2330806.93810163,2614191.84242831,2271114.98278511,11007189.3141295,12570789.4279705,14077497.3706354,11297126.124629
PC 36:3,1639703.84181338,1331944.95995319,781747.86788279,1183173.95138238,171752.075658118,196590.955000526,153886.912920189,170625.989542492
PC 36:4,1526062.75091141,1702351.21940765,1136262.80274261,1270587.51926208,300625.861990585,308232.792221493,319453.157646906,227349.740678661
PC 36:5,7561612.96747077,6105631.97201093,5802579.51438713,7974806.33221361,16922721.8875683,17229369.3441025,17036034.057869,11961411.344594
PC 38:3,3322124.54758583,2922309.30238343,3490058.42637495,4473497.29294254,506139.845375127,533796.796375246,546458.699389789,480558.915089422
PC 38:4,973262.545979718,1571069.17532228,1011813.02226514,1005444.5091051,4365127.77094879,3675364.49374232,4487877.21698089,4536323.50993078
PC 38:5,106184.472755614,81577.8699341887,129734.16198272,109424.699807311,668714.581229095,589562.998902159,523350.933662579,693413.909528755
PC 38:6,2411911.50210605,2404990.74119959,2466503.71185469,1866006.17169688,13577797.1098543,9451031.03682883,15515034.4467064,12038234.6892805
PC 40:5,1137221.72770947,1411190.18193584,1146073.31486566,842874.880783767,1806173.22293761,1949491.99139302,1653567.34110189,1884832.03752706
PC 40:6,1040602.70645638,1503663.65640561,1126279.75527715,1365749.73365778,2133502.61376091,2766400.92411341,3184010.60286537,3512198.21518827
PC 40:7,6893845.93516045,8834427.80295639,7537121.85964988,7353172.45499953,797418.329220888,1303273.43408183,1069763.45331552,1138072.98657338
PE 34:1,423407.411902672,519189.563518403,481246.087959267,371457.303710593,1259748.83219192,1345571.00163513,1543073.04512929,991994.708634734
PE 34:2,9142843.04866265,5467002.02182482,6918335.62006516,8230455.69444474,5658556.87831729,5272699.24413245,7706619.92241343,6738917.35125945
PE 36:1,9125103.58090989,8616564.06202644,6403392.08176304,9115315.66457763,6485523.68338197,6499068.81915685,6561616.76289551,9691760.2693603
PE 36:2,164036.891627607,205053.056594521,NA,171210.701005754,234854.785004347,204345.060993884,191882.03885919,163179.893528932
PE 36:3,1042402.27907734,1042832.86079814,1038068.74047218,NA,1409014.65996492,969906.9754352,1127760.93277694,NA
PE 36:4,39583.2272709907,53254.9994206506,NA,75216.8264641061,60370.2000680429,48690.0153524755,NA,61313.9721045016
PE 38:4,2716317.88336551,NA,2753701.57092177,3250127.85277314,3018836.05234284,2653843.39872148,3417009.79060709,2568547.40504235
PE 38:5,1211947.11342396,910925.707457303,1273041.44171122,1370967.97930458,1584951.4655524,1271128.26819284,1557583.52194921,1619007.40239272
