Molecule	HMDB	GT15_2013_1	GT15_2013_3	GT15_2013_4	GT15_2024_1	GT15_2024_2	GT15_2024_3	GT15_2024_4
		GT15_2013	GT15_2013	GT15_2013	GT15_2024	GT15_2024	GT15_2024	GT15_2024
1,5-Anhydrosorbitol	2712	3.95E+06	1.14E+06	5.40E+06	5.93E+06	4.76E+06	5.69E+06	4.05E+06
10-Hydroxydecanoic acid	10725	4.99E+06	7.18E+05	6.33E+06	3.22E+06	2.73E+06	1.22E+07	5.29E+06
13-Methylmyristic acid	HMDB0061707	8.88E+08	7.60E+09	3.05E+09	6.00E+09	6.02E+09	1.34E+09	2.95E+09
14-Methylhexadecanoic acid	HMDB0031067	5.27E+08	5.29E+09	1.86E+09	4.90E+09	4.89E+09	9.69E+08	2.03E+09
15-Methylpalmitate	61709	2.01E+09	2.07E+10	7.38E+09	1.90E+10	1.90E+10	3.86E+09	7.69E+09
16-Hydroxy hexadecanoic acid	6294	1.90E+07	5.15E+07	2.09E+07	6.86E+07	7.42E+07	3.01E+07	3.13E+07
1-Deoxy-D-glucitol	HMDB0041500	3.09E+04	1.17E+04	1.69E+04	5.75E+04	5.70E+04	4.62E+04	4.19E+04
1-Methyladenosine	HMDB0003331	1.83E+06	2.56E+05	3.77E+06	2.05E+06	2.22E+06	4.09E+06	2.31E+06
2-Aminoadipate	HMDB0000510	2.76E+06	6.87E+05	6.39E+06	9.98E+07	1.04E+08	8.84E+06	2.66E+06
2-Hydroxyglutarate	HMDB0059655	3.71E+06	8.76E+05	3.30E+06	1.36E+07	1.35E+07	1.21E+07	5.70E+06
2-Hydroxyhexadecanoic acid	HMDB0031057	5.53E+06	1.24E+07	6.58E+06	2.04E+07	1.85E+07	8.46E+06	9.19E+06
2-Hydroxymyristic acid	2261	3.17E+07	5.04E+07	4.36E+07	7.02E+07	6.76E+07	4.80E+07	8.53E+07
2-Methylcitrate	HMDB0000379	1.05E+06	2.10E+05	1.30E+06	8.95E+05	1.33E+06	2.74E+06	2.18E+06
2-Phosphoglycerate	HMDB0000362	1.53E+06	2.38E+05	1.52E+06	4.01E+05	7.57E+05	3.03E+06	7.05E+06
3-(4-Hydroxyphenyl)Pyruvate	707	3.32E+06	1.49E+06	5.94E+06	7.06E+06	6.52E+06	4.16E+06	2.40E+06
3,4-Dihydroxyhydrocinnamic acid	HMDB0000423	1.15E+06	7.01E+04	2.04E+06	5.32E+05	5.06E+05	1.38E+06	6.33E+04
3-Hydroxybenzaldehyde		1.72E+07	1.74E+07	1.52E+07	1.81E+07	1.15E+07	1.69E+07	1.79E+07
3-Hydroxybutyric acid	357	1.14E+08	1.26E+07	2.05E+07	8.13E+07	7.05E+07	2.47E+07	3.62E+07
3-Hydroxyhexadecanoic acid	61658	1.86E+07	5.23E+07	2.06E+07	6.87E+07	7.47E+07	3.00E+07	3.08E+07
3-Hydroxymethylglutarate	355	1.08E+07	9.50E+05	6.31E+06	4.05E+06	4.39E+06	6.80E+06	6.44E+06
3-Hydroxytetradecanoic acid	61656	3.13E+07	4.99E+07	4.32E+07	6.98E+07	6.68E+07	4.77E+07	8.43E+07
3-Methyladenine	HMDB0011600	4.91E+04	6.05E+04	1.73E+05	1.13E+06	1.65E+05	1.40E+05	8.20E+04
3-Methylcrotonyl-Coa	1493	1.38E+06	2.25E+04	1.17E+06	1.27E+06	1.56E+06	2.77E+06	7.61E+05
4-Amino-3-hydroxybutyric acid	HMDB0061877	7.61E+05	4.43E+05	8.90E+05	9.95E+06	9.77E+06	1.58E+06	9.61E+05
4-Coumarate	2035	5.14E+05	2.19E+04	2.85E+05	1.60E+05	1.18E+05	5.34E+05	1.84E+05
4-Guanidinobutanoate	HMDB0003464	1.51E+07	1.06E+06	1.69E+07	3.63E+07	3.64E+07	3.01E+07	6.51E+06
4-Hydroxybenzaldehyde	11718	1.72E+07	1.74E+07	1.54E+07	1.91E+07	1.19E+07	1.66E+07	1.88E+07
4-Hydroxy-L-glutamic acid	2273	3.30E+05	6.12E+03	2.60E+05	4.01E+05	4.79E+05	5.12E+05	3.07E+05
4-Imidazoleacetate	2024	5.13E+06	7.31E+05	6.31E+06	6.25E+06	7.26E+06	1.30E+07	2.07E+06
5,6 Dimethylbenzimidazole	3701	1.64E+07	0.00E+00	3.18E+06	2.78E+06	1.78E+06	2.73E+06	1.10E+05
5-Hydroxy-L-Tryptophan	HMDB0000472	3.13E+05	1.18E+05	2.36E+05	9.20E+05	1.47E+06	4.83E+05	1.62E+05
5-Methylcytosine	HMDB0002894	5.06E+05	3.28E+05	1.10E+06	1.47E+06	1.75E+06	1.42E+06	1.65E+06
5-Phenylvaleric acid	2043	5.22E+06	1.61E+06	1.03E+07	7.84E+06	2.43E+06	1.02E+07	2.99E+06
6-Oxopiperidine-2-carboxylic acid	61705	7.50E+06	1.54E+06	6.38E+06	9.25E+06	9.03E+06	6.70E+06	4.21E+06
6-Phosphogluconate	1316	2.51E+05	2.58E+03	1.95E+04	2.27E+04	1.30E+05	1.13E+05	7.69E+04
7-Methylguanine	897	2.50E+07	6.20E+06	3.97E+07	3.46E+08	7.58E+07	7.67E+07	1.74E+07
â€‹17-Methyloctadecanoic acid	37397	2.70E+08	2.30E+09	1.01E+09	2.91E+09	2.84E+09	5.39E+08	6.12E+08
Acetoacetate	60	1.05E+07	5.79E+06	2.49E+06	2.35E+06	5.36E+06	1.04E+06	6.21E+06
Acetyl CoA	HMDB0001206	7.73E+05	2.17E+04	2.76E+05	2.68E+06	3.43E+06	9.83E+05	5.15E+04
Adenine	HMDB0000034	1.19E+06	1.57E+05	1.34E+06	4.80E+06	4.30E+06	4.15E+06	9.12E+05
Adenosine	HMDB0000050	1.18E+08	5.05E+07	2.16E+08	3.80E+08	3.67E+08	3.40E+08	8.47E+07
Adenosine 3',5'-cyclic monophosphate (cAMP)	HMDB0000058	1.76E+06	1.30E+06	2.92E+06	2.08E+07	2.12E+07	9.20E+06	3.27E+05
Adenosine 5'-Diphosphate (ADP)	HMDB0001341	6.42E+06	7.40E+05	7.81E+06	1.54E+07	3.42E+07	2.50E+07	5.06E+06
Adenosine 5'-triphosphate (ATP)	HMDB0000538	2.25E+05	9.54E+03	7.20E+05	8.47E+05	2.63E+06	2.80E+06	3.21E+05
Adenosine Diphosphate Ribose	HMDB0001178	8.41E+05	5.29E+06	1.42E+06	1.68E+06	1.74E+06	1.91E+06	5.80E+06
Adenosine-Monophosphate (AMP)	HMDB0000045	2.33E+08	3.40E+07	3.17E+08	7.83E+08	8.31E+08	5.35E+08	1.62E+08
Ala-Ala-Ala	HMDB0248092	8.42E+05	7.61E+05	1.11E+06	1.92E+06	1.76E+06	1.07E+06	5.31E+05
