"feature_id","Name","m/z","RT [min]","CTRL_01","CTRL_02","CTRL_03","TRT_01","TRT_02","TRT_03"
"METAB_001","Cysteine",332.2859,10.79,686160.816355897,716891.414665495,640383.098256689,351114.617300991,299558.273771384,261505.311549214
"METAB_002","Palmitate",411.4221,13.24,39905.4593458799,37905.6546400289,33944.3783021046,70104.7380669914,97540.3563157308,99357.6527698182
"METAB_003","TMAO",247.61,8.92,142419.742949146,156098.942204619,123110.323322312,37464.8537020745,28004.7596379192,60425.4481506818
"METAB_004","Pantothenate",888.2191,13.9,4594284.88430016,2860655.18506878,3628200.55978161,12317861.7438372,14473648.5303773,14770997.6862161
"METAB_005","Retinol",544.3748,0.36,24898.8221223841,17329.4298909959,25892.572255265,78348.0152965563,80205.0042661183,72719.0927865668
"METAB_006","Methylmalonyl-CoA",309.9076,10.18,368124.576476129,499913.171336203,472322.98413874,1502645.56453516,1620169.98045912,1918763.65001275
"METAB_007","Glutathione disulfide",231.7457,8.45,520674.738226892,601036.23509507,415169.890684073,159336.586864399,160548.861163053,196325.809569848
"METAB_008","Indole-3-acetate",701.6103,6.14,1061130.95456309,1229164.94256863,2048509.50682452,308155.377768422,448500.669281784,438706.561715831
"METAB_009","Glutathione",544.7607,15.09,134980.9604012,114557.290989411,193597.308218971,393871.787386943,490861.157956797,254972.471928592
"METAB_010","Pyridoxine",844.3823,17.61,297826.42632393,324209.365135343,314331.017666318,96396.5727305492,83410.8408518642,130350.814185812
"METAB_011","Folate",603.7285,11.99,7899.6369332037,12627.6127457204,12711.815942163,79681.1633666264,88772.0380928796,90584.2095402165
"METAB_012","Sphingosine",654.6135,4.43,444350.618143592,547860.986591865,436128.885294685,2319127.21219479,2438318.70947329,2076801.68550251
"METAB_013","Urea",472.9624,14.8,73904.0484632135,110265.042266984,64261.0614614568,280054.871892439,248059.026085537,194600.721890332
"METAB_014","Thymidine",777.2558,13.13,219412.546250925,145304.355178561,99677.4573295125,63293.6006454308,54863.7143402233,56405.0550805246
"METAB_015","Putrescine",426.3112,17.58,29519.202332803,35555.9565146359,33295.9352897442,4147.15677985887,2579.6388449162,4844.6745959745
"METAB_016","alpha-Ketoglutarate",105.7415,4.99,573562.740986081,674094.399958741,507140.626851457,2014599.06025837,2850700.07030932,4071082.70683408
"METAB_017","Adrenaline",291.6803,15.86,857179.354569697,689908.802621895,1170875.70313313,281913.722519881,163046.053961078,214576.598310319
"METAB_018","Cystathionine",354.5727,8.94,119562.646596125,147631.008534308,102114.388015508,24739.7569431834,25118.5086733419,24569.9941453574
"METAB_019","Fructose-1,6-bisphosphate",189.5107,5.71,6695548.66953731,4285663.81166646,5397561.82494303,1061471.80086044,1067288.53204531,1218042.58289577
"METAB_020","Kynurenine",489.628,7.29,819606.89146049,889493.847747857,1006147.10722082,5204858.87131652,5296659.59804173,6618507.49138691
"METAB_021","ATP",737.7512,13.74,1404280.81359396,1187275.98780917,1456725.54337078,620339.614081129,503581.336771034,469239.2042386
"METAB_022","Cholesteryl ester",356.4657,2.08,10478420.7229731,7539441.42370874,9372702.50525304,1085511.58005724,1367344.18489253,1567957.16043282
"METAB_023","Dopamine",497.3149,7.76,86860.0313410173,72125.5470702552,74553.4588614901,232257.403777613,184958.393076648,247429.684220028
"METAB_024","Betaine",485.4396,11.94,1479928.38264498,1167425.61207232,1109771.91098944,4045443.87249388,5065687.92383527,4792583.74316304
"METAB_025","Malonyl-CoA",733.5834,5.53,1484059.56479721,924113.695203027,1379467.39835188,5643309.01894041,5100512.19300209,4792678.95035953
"METAB_026","CDP",544.9063,3.95,199824.409168969,237393.307780682,265558.713864167,318378.809407252,247125.824423395,203668.475159965
"METAB_027","Anthranilate",167.4914,0.34,531676.924988737,369065.050000215,404071.797716967,407445.8229845,353111.143465348,384148.734619838
