journal_full	journal_iso	impact_factor
CA: A Cancer Journal for Clinicians	CA Cancer J Clin	503.1
Nature Reviews Drug Discovery	Nat Rev Drug Discov	122.7
BMJ	BMJ	105.7
The Lancet	Lancet	98.4
Lancet	Lancet	98.4
The New England Journal of Medicine	N Engl J Med	96.2
Nature Medicine	Nat Med	82.9
Nature Reviews Molecular Cell Biology	Nat Rev Mol Cell Biol	81.5
Nature Reviews Cancer	Nat Rev Cancer	78.5
Nature Reviews Disease Primers	Nat Rev Dis Primers	76.9
Nature Reviews Materials	Nat Rev Mater	76.7
Nature Reviews Microbiology	Nat Rev Microbiol	69.2
Nature Reviews Immunology	Nat Rev Immunol	67.7
Nature Reviews Gastroenterology & Hepatology	Nat Rev Gastroenterol Hepatol	65.1
Cell	Cell	64.5
JAMA	JAMA	63.1
Science	Science	56.9
Nature Reviews Methods Primers	Nat Rev Methods Primers	56.0
Nature Energy	Nat Energy	52.8
Lancet Oncology	Lancet Oncol	51.1
Nature	Nature	50.5
Cancer Cell	Cancer Cell	50.3
Lancet Neurology	Lancet Neurol	48.0
Nature Biotechnology	Nat Biotechnol	46.9
Lancet Diabetes & Endocrinology	Lancet Diabetes Endocrinol	44.5
Cell Research	Cell Res	44.1
Nature Catalysis	Nat Catal	42.8
Journal of Clinical Oncology	J Clin Oncol	42.1
Nature Reviews Nephrology	Nat Rev Nephrol	41.0
Nature Reviews Endocrinology	Nat Rev Endocrinol	40.5
Joule	Joule	39.8
European Heart Journal	Eur Heart J	39.3
Nature Reviews Cardiology	Nat Rev Cardiol	39.3
Signal Transduction and Targeted Therapy	Signal Transduct Target Ther	39.3
Lancet Respiratory Medicine	Lancet Respir Med	38.7
Nature Nanotechnology	Nat Nanotechnol	38.3
Nature Reviews Chemistry	Nat Rev Chem	38.1
Nature Materials	Nat Mater	37.2
Molecular Cancer	Mol Cancer	37.3
Nature Methods	Nat Methods	36.1
Nature Reviews Physics	Nat Rev Phys	35.7
Nature Reviews Bioengineering	Nat Rev Bioeng	35.4
Circulation	Circulation	35.5
Nature Photonics	Nat Photonics	35.0
Lancet Microbe	Lancet Microbe	33.0
Physiological Reviews	Physiol Rev	33.6
Immunity	Immunity	32.4
Nature Genetics	Nat Genet	31.7
Lancet Gastroenterology & Hepatology	Lancet Gastroenterol Hepatol	30.9
Cell Host & Microbe	Cell Host Microbe	30.3
Cancer Discovery	Cancer Discov	29.7
Nature Climate Change	Nat Clim Chang	28.9
Nature Reviews Neuroscience	Nat Rev Neurosci	28.7
Annual Review of Pathology	Annu Rev Pathol	28.4
Nature Microbiology	Nat Microbiol	28.3
Cell Metabolism	Cell Metab	27.7
Nature Sustainability	Nat Sustain	27.6
Annual Review of Plant Biology	Annu Rev Plant Biol	27.4
Advanced Materials	Adv Mater	27.4
Journal of Hepatology	J Hepatol	26.8
Gastroenterology	Gastroenterology	25.7
Annual Review of Biochemistry	Annu Rev Biochem	25.5
Nature Immunology	Nat Immunol	25.4
Lancet Public Health	Lancet Public Health	25.4
Science Robotics	Sci Robot	25.0
Annual Review of Immunology	Annu Rev Immunol	25.0
Gut	Gut	24.5
Pharmacological Reviews	Pharmacol Rev	24.5
Lancet Planetary Health	Lancet Planet Health	24.1
Cell Stem Cell	Cell Stem Cell	23.9
Nature Food	Nat Food	23.0
Nature Cancer	Nat Cancer	22.7
Nature Chemistry	Nat Chem	21.8
Nature Photonics	Nat Photonics	21.4
Nature Neuroscience	Nat Neurosci	21.2
Nature Physics	Nat Phys	21.4
Blood	Blood	21.0
Lancet HIV	Lancet HIV	18.8
Trends in Cancer	Trends Cancer	18.4
Nature Cell Biology	Nat Cell Biol	17.8
Science Immunology	Sci Immunol	17.5
Nature Geoscience	Nat Geosci	17.3
Nature Plants	Nat Plants	17.2
Trends in Cell Biology	Trends Cell Biol	17.3
Trends in Plant Science	Trends Plant Sci	17.3
Science Translational Medicine	Sci Transl Med	17.1
Cell Reports Medicine	Cell Rep Med	16.8
Nature Communications	Nat Commun	16.6
Nature Aging	Nat Aging	16.6
Annual Review of Cell and Developmental Biology	Annu Rev Cell Dev Biol	16.0
Molecular Cell	Mol Cell	16.0
Med	Med	16.0
Trends in Microbiology	Trends Microbiol	15.9
Annual Review of Physiology	Annu Rev Physiol	15.7
Annual Review of Pharmacology and Toxicology	Annu Rev Pharmacol Toxicol	15.7
Cell Discovery	Cell Discov	15.5
Chem	Chem	19.1
