"Protein.Group","Protein.Names","Genes","First.Protein.Description","CTRL_01","CTRL_02","CTRL_03","TRT_01","TRT_02","TRT_03"
"cRAP-P00761","cRAP-TRYP_PIG","","Trypsin",14661531611.3457,12261474946.0481,17514610825.5722,12909377852.9204,15389229141.1757,15148413004.8193
"cRAP-P02769","cRAP-ALBU_BOVIN","","Serum albumin BSA",14751800701.9535,12385821379.2555,15885669625.8299,13837874392.5132,13604224610.1424,12900674290.0237
"cRAP-P00883","cRAP-KRT1_HUMAN","KRT1","Keratin type II",16059103412.088,15886438877.7874,13127921163.1045,15003411197.1036,14208025362.3426,13399995644.5768
"P10001","ACO2_HUMAN","ACO2","ACO2 synthetic example protein",9336236.32317021,12175968.6511086,13507740.5802979,1424076.14556941,1832162.36211884,1797802.26821878
"P10002","IDH1_HUMAN","IDH1","IDH1 synthetic example protein",407575490.63083,373874742.315304,255885006.276179,145110205.956645,102884932.392671,98249156.6066128
"P10003","RPS6_HUMAN","RPS6","RPS6 synthetic example protein",3545066.17315061,3846633.34833699,3546502.66577148,14488774.6819864,14998774.3440132,14318114.3257473
"P10004","HSP90AB1_HUMAN","HSP90AB1","HSP90AB1 synthetic example protein",1240428.27672337,1183294.93008404,1751217.45647946,10984666.2277694,15095629.0972298,12317964.9395739
"P10005","COX4I1_HUMAN","COX4I1","COX4I1 synthetic example protein",5271474.33793998,3926487.4180185,5664194.82007557,26225147.4790384,36010389.0647225,23719238.0917771
"P10006","TPI1_HUMAN","TPI1","TPI1 synthetic example protein",101850634.225708,101724725.420134,74407872.2291284,516972403.408558,554299683.083693,541465457.427989
"P10007","HSP90AA1_HUMAN","HSP90AA1","HSP90AA1 synthetic example protein",572284.391547004,680989.794962287,547236.465696641,68998.072654329,101907.511593696,79419.1532454378
"P10008","YWHAB_HUMAN","YWHAB","YWHAB synthetic example protein",49058801.1419229,50319739.1074616,47716150.1116999,7373072.02209191,9132938.73954815,7461225.0544967
"P10009","LDHA_HUMAN","LDHA","LDHA synthetic example protein",45009616.2544036,62280744.6058869,44389066.4627335,243775498.447242,238277095.719746,264665470.16359
"P10010","XBP1_HUMAN","XBP1","XBP1 synthetic example protein",10023590.9099244,9208638.16591731,6795709.47307129,27414537.981736,35192457.2961851,34901297.2080694
"P10011","TUBA1B_HUMAN","TUBA1B","TUBA1B synthetic example protein",4452565.63349804,4461692.10551462,3598370.78048548,14463822.5581814,11846326.0155379,12648308.4641069
"P10012","YWHAH_HUMAN","YWHAH","YWHAH synthetic example protein",2079631.25235008,1699154.52657911,1846639.73923255,169533.301397962,139094.977046567,238389.572563931
"P10013","VCL_HUMAN","VCL","VCL synthetic example protein",2360364.3803028,3685618.20998004,2647395.34225443,373920.095504671,417292.39299116,554388.965316418
"P10014","CS_HUMAN","CS","CS synthetic example protein",12082427.5393608,14505234.6054698,12951564.7489831,30128261.1889906,46488459.0182328,38789569.4235369
"P10015","SOD2_HUMAN","SOD2","SOD2 synthetic example protein",154184448.703945,134646087.414633,135472060.101472,1423592549.48966,2149420033.51472,1500579110.15894
"P10016","HK1_HUMAN","HK1","HK1 synthetic example protein",4271141.1048165,3320863.49176016,2946172.378639,36043011.3021549,28527928.8799186,30634208.8804015
"P10017","YWHAG_HUMAN","YWHAG","YWHAG synthetic example protein",323711.594553482,356155.886134752,498365.787854466,70025.542307292,52694.0260802981,56395.6963819551
"P10018","HSPA8_HUMAN","HSPA8","HSPA8 synthetic example protein",1222569.92919219,1141397.20343089,1107830.40145975,14113940.0786778,11899913.9070236,12138634.6545383
"P10019","UQCRC1_HUMAN","UQCRC1","UQCRC1 synthetic example protein",8308675.43340234,5581720.95068131,7489555.12681184,29100381.4210945,27700374.8692286,26463624.4698009
"P10020","ATP5F1A_HUMAN","ATP5F1A","ATP5F1A synthetic example protein",2324835.07052365,2470828.6759231,3124690.53603469,438336.548368398,331566.335821665,520164.300973117
"P10021","OGDH_HUMAN","OGDH","OGDH synthetic example protein",2567938.82574431,3257458.04208028,3328501.37085896,2373787.64479448,2567361.55629119,2753053.33355995
"P10022","DDIT3_HUMAN","DDIT3","DDIT3 synthetic example protein",2687007.47934526,2591990.9981918,2903948.30454993,3237406.85592505,2231547.26869755,3114986.74219588
"P10023","CALM1_HUMAN","CALM1","CALM1 synthetic example protein",363529.654091603,222116.53228245,386268.599867655,512983.290511826,312144.633485281,352514.279077216
"P10024","GAPDH_HUMAN","GAPDH","GAPDH synthetic example protein",2679801.21387719,2969551.06451005,2849864.86786933,1723029.7613528,2661249.55223105,2552976.55188009
"P10025","TXN_HUMAN","TXN","TXN synthetic example protein",17494775.2467409,18396909.6036127,22642186.1159471,15985300.9721472,17400213.8608382,13285397.5625285
"P10026","KRT18_HUMAN","KRT18","KRT18 synthetic example protein",13075990.0858457,15573503.7271089,,17007148.5357486,17938367.8226697,14533753.8623493
"P10027","KRT8_HUMAN","KRT8","KRT8 synthetic example protein",,10990678.9037478,14230561.2201235,11922468.4780339,12689692.1591542,12073868.7199026
"P10028","GSR_HUMAN","GSR","GSR synthetic example protein",2239793.17214773,2242256.33361359,1893687.61040221,2393215.1366793,,2331714.30484183
"P10029","PRDX1_HUMAN","PRDX1","PRDX1 synthetic example protein",3353355.15262363,2488030.13733253,2690114.70875016,3257402.23808557,,2365178.06106087
"P10030","CAPZA1_HUMAN","CAPZA1","CAPZA1 synthetic example protein",707922.418027247,598700.153808309,542575.109674003,581084.553618045,525608.312544655,435182.445875385
"P10031","IDH2_HUMAN","IDH2","IDH2 synthetic example protein",,4332670.62791545,3841265.13396527,3834916.49744339,4205966.75046935,3138871.20939736
"P10032","CAT_HUMAN","CAT","CAT synthetic example protein",6174025.557376,6817931.95216888,5980675.95667384,5568540.10920347,,5792770.69802397
"P10033","TUBA1A_HUMAN","TUBA1A","TUBA1A synthetic example protein",,102016595.997679,61307524.4705385,65192661.7944785,96878792.6964643,83049000.6762113
"P10034","RPS3_HUMAN","RPS3","RPS3 synthetic example protein",31962246.5662639,25516024.7765767,23913131.5683529,23938366.0741761,28771687.8719565,26370178.2561452
"P10035","ATP5F1B_HUMAN","ATP5F1B","ATP5F1B synthetic example protein",1790402.34691985,1860336.87292679,1569525.69571759,1651897.92853371,1451803.96934351,1542974.97177598
"P10036","GPX1_HUMAN","GPX1","GPX1 synthetic example protein",7331675.04156838,8135991.37174161,9369421.0994017,6645906.84498799,6823818.83727024,4727968.63203507
"P10037","GPX4_HUMAN","GPX4","GPX4 synthetic example protein",428198.743509186,633380.328539226,497835.135018023,631244.864658873,723766.3830489,692731.024332569
"P10038","VIM_HUMAN","VIM","VIM synthetic example protein",24534774.3512148,23086402.5112373,23353407.7626874,19729762.4709932,14341614.3925049,21373654.3894593
"P10039","ALDOA_HUMAN","ALDOA","ALDOA synthetic example protein",19580255.7730747,24484060.1640863,20230534.890107,29172640.6189684,24346640.1438672,20049656.835188
"P10040","YWHAZ_HUMAN","YWHAZ","YWHAZ synthetic example protein",136266157.584395,185724952.647912,174168717.459309,136319540.71716,172397959.015034,137454359.967455
"P10041","EEF1A1_HUMAN","EEF1A1","EEF1A1 synthetic example protein",14577604.2822341,7064790.98354466,,7864163.11563771,14967024.8570298,8166639.06523976
"P10042","EIF2AK3_HUMAN","EIF2AK3","EIF2AK3 synthetic example protein",1919047.70291994,1727889.39065206,1684067.14124985,1818688.51448007,1148073.62320212,1877303.47505731
"P10043","PRDX2_HUMAN","PRDX2","PRDX2 synthetic example protein",4675434.71993333,6074044.85487407,5176671.61525873,3684496.91212699,4064889.72536355,5330294.91163809
"P10044","PRDX3_HUMAN","PRDX3","PRDX3 synthetic example protein",1093673.48995502,,1729366.39094795,1671404.01625552,1973483.06873697,2234203.73321196
"P10045","FH_HUMAN","FH","FH synthetic example protein",985199.168783225,1048227.64266619,823380.810165616,886622.677394263,1339799.00935677,865265.096780672
"P10046","PGK1_HUMAN","PGK1","PGK1 synthetic example protein",,6009126.66078131,5345721.68126043,,6479248.09652627,5891297.22581761
"P10047","ATF6_HUMAN","ATF6","ATF6 synthetic example protein",953455.22418586,1050969.42264041,1175046.08045991,844875.44543448,692880.162164757,1118305.12355068
"P10048","RPL4_HUMAN","RPL4","RPL4 synthetic example protein",,,,5117278.87911067,8274900.37095118,4801746.89953362
"P10049","KEAP1_HUMAN","KEAP1","KEAP1 synthetic example protein",10941852.6939036,7975132.2505017,,9442079.51059651,5722063.57647124,7465098.15597877
"P10050","CALR_HUMAN","CALR","CALR synthetic example protein",4692789.56110249,2823246.05904978,3796481.31433831,3451327.56867636,3159978.22392578,2819230.87933061
"P10051","HMOX1_HUMAN","HMOX1","HMOX1 synthetic example protein",2734753.17784486,3167278.86442212,3162642.06418462,3289738.21158644,2964543.13027765,3139316.41372964
"P10052","CALM2_HUMAN","CALM2","CALM2 synthetic example protein",1538796.11915932,1213450.95091428,1607243.15365434,1396111.70171614,2002988.00134502,1218798.06196466
"P10053","YWHAQ_HUMAN","YWHAQ","YWHAQ synthetic example protein",592303.81504909,588188.994711221,747426.345172314,494759.151664714,669238.569894965,522237.854887119
"P10054","ATF4_HUMAN","ATF4","ATF4 synthetic example protein",16645949.2663642,14873534.4604486,18593771.6355968,19496630.8165281,20738159.41126,15962586.9130317
"P10055","SUCLA2_HUMAN","SUCLA2","SUCLA2 synthetic example protein",2658104.97657048,4660780.51848599,5334975.17293971,4280609.45189781,5882205.32724801,4709139.9200385
"P10056","UQCRC2_HUMAN","UQCRC2","UQCRC2 synthetic example protein",15442894.2873161,19875618.5320577,15510980.5576198,18224388.101054,21002337.0120471,12173446.0964337
"P10057","GCLC_HUMAN","GCLC","GCLC synthetic example protein",528386.481337812,460591.065082386,323443.012544544,544204.395541062,392707.575424803,451042.122561263
"P10058","SDHB_HUMAN","SDHB","SDHB synthetic example protein",8185131.52925453,7712776.10371928,5180447.07560706,5733786.53526965,6357365.43318353,
"P10059","PKM_HUMAN","PKM","PKM synthetic example protein",14687539.755805,15126297.9922334,12315329.523289,17724057.2771635,13214429.1651774,11398858.4072179
"P10060","NDUFA2_HUMAN","NDUFA2","NDUFA2 synthetic example protein",4462317.1087603,,2682785.02025855,4088662.13051469,,4351157.21931937
"P10061","PFKP_HUMAN","PFKP","PFKP synthetic example protein",2546428.49597878,4293939.18866562,3318586.65988642,,2886037.08718796,3199595.60816459
"P10062","PGAM1_HUMAN","PGAM1","PGAM1 synthetic example protein",1112903.49160544,966529.995811051,944564.374894826,1230403.07054675,830405.588735379,1062092.72507287
"P10063","SOD1_HUMAN","SOD1","SOD1 synthetic example protein",103556694.798927,170779526.178347,142747622.147561,120101553.025367,161657316.370048,162942113.27797
"P10064","ENO1_HUMAN","ENO1","ENO1 synthetic example protein",16748868.9506984,18269056.4219257,11695724.4070328,11042244.3824755,16373728.5593252,13872528.2804963
"P10065","TLN1_HUMAN","TLN1","TLN1 synthetic example protein",111673601.790442,98866474.8368155,108822512.831784,86012121.7538262,98670410.0796322,69701982.0092096
"P10066","CANX_HUMAN","CANX","CANX synthetic example protein",4975905.24319191,5092392.50901345,6687130.5733169,4235144.59430192,4012337.46864722,5885585.13842991
"P10067","EEF2_HUMAN","EEF2","EEF2 synthetic example protein",1585668.90615871,1178500.7752025,1206132.91978642,1264030.87466806,1214345.97791324,1349322.24511234
"P10068","NFE2L2_HUMAN","NFE2L2","NFE2L2 synthetic example protein",321553.653754132,330507.065216538,298762.587406589,402455.456904932,303981.346385355,285970.639457493
"P10069","NDUFA1_HUMAN","NDUFA1","NDUFA1 synthetic example protein",1589196.41436845,1233655.23825889,1952550.84790486,1849431.3054179,1667526.15422912,1431533.4041258
"P10070","HSPA5_HUMAN","HSPA5","HSPA5 synthetic example protein",8543345.74348386,7148328.71249732,7298699.10025378,7040647.1206901,5828282.6055921,7089423.51457235
"P10071","ATP5F1C_HUMAN","ATP5F1C","ATP5F1C synthetic example protein",29461275.966216,,33846204.506058,19483737.7954222,20890786.907517,26157976.5592635
"P10072","YWHAE_HUMAN","YWHAE","YWHAE synthetic example protein",6536293.46042098,6869266.89885069,6493508.788506,6525522.42757583,4067820.48006673,7632327.71276079
"P10073","TUBB_HUMAN","TUBB","TUBB synthetic example protein",453743.350923843,475306.483191852,536070.866211003,598880.871140733,599621.12143867,554820.998808921
"P10074","ACTB_HUMAN","ACTB","ACTB synthetic example protein",14367445.8593676,12806252.5128135,12233873.3237348,13049841.472709,14390574.9977733,12245211.9574816
"P10075","ACTG1_HUMAN","ACTG1","ACTG1 synthetic example protein",224240.735134393,183641.540020712,308175.167274706,247605.533969888,301551.60281726,228151.926579939
"P10076","MDH2_HUMAN","MDH2","MDH2 synthetic example protein",2882207.2643329,2275067.45034749,1780572.49710446,1888973.3282923,2868867.76384075,
"P10077","SDHA_HUMAN","SDHA","SDHA synthetic example protein",1835744.62222028,2876862.87291021,2557907.62148169,1940233.83105705,2365871.29466203,
